thermostat,id,name,temp,setpoint,status,mode,time
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 11:07:56
EMEA_ZONE,7403695,1e overig,17.95,16.5,Scheduled,Off,2026-01-03 11:25:33
EMEA_ZONE,7403694,Badkamer,18.05,18.5,Scheduled,Off,2026-01-03 11:25:33
EMEA_ZONE,7337783,Logeerkamer,17.84,18.0,Scheduled,Off,2026-01-03 11:25:33
EMEA_ZONE,7162110,Slp. Harvey,19.43,16.0,Scheduled,Off,2026-01-03 11:25:33
EMEA_ZONE,7072444,Slp. R&M,19.43,16.0,Scheduled,Off,2026-01-03 11:25:33
EMEA_ZONE,7073860,Woonkamer,21.3,20.5,Scheduled,Off,2026-01-03 11:25:33
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 11:25:33
EMEA_ZONE,7403695,1e overig,17.97,16.5,Scheduled,Off,2026-01-03 11:40:14
EMEA_ZONE,7403694,Badkamer,18.07,18.5,Scheduled,Off,2026-01-03 11:40:14
EMEA_ZONE,7337783,Logeerkamer,17.83,18.0,Scheduled,Off,2026-01-03 11:40:14
EMEA_ZONE,7162110,Slp. Harvey,19.43,16.0,Scheduled,Off,2026-01-03 11:40:14
EMEA_ZONE,7072444,Slp. R&M,19.43,16.0,Scheduled,Off,2026-01-03 11:40:14
EMEA_ZONE,7073860,Woonkamer,21.3,20.5,Scheduled,Off,2026-01-03 11:40:14
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 11:40:14
EMEA_ZONE,7403695,1e overig,18.05,16.5,Scheduled,Off,2026-01-03 11:50:56
EMEA_ZONE,7403694,Badkamer,18.12,16.5,Scheduled,Off,2026-01-03 11:50:56
EMEA_ZONE,7337783,Logeerkamer,17.82,18.0,Scheduled,Off,2026-01-03 11:50:56
EMEA_ZONE,7162110,Slp. Harvey,19.5,16.0,Scheduled,Off,2026-01-03 11:50:56
EMEA_ZONE,7072444,Slp. R&M,19.5,16.0,Scheduled,Off,2026-01-03 11:50:56
EMEA_ZONE,7073860,Woonkamer,21.3,20.5,Scheduled,Off,2026-01-03 11:50:56
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 11:50:56
EMEA_ZONE,7403695,1e overig,18.08,16.5,Scheduled,Off,2026-01-03 12:06:43
EMEA_ZONE,7403694,Badkamer,18.12,16.5,Scheduled,Off,2026-01-03 12:06:43
EMEA_ZONE,7337783,Logeerkamer,17.77,18.0,Scheduled,Off,2026-01-03 12:06:43
EMEA_ZONE,7162110,Slp. Harvey,19.53,16.0,Scheduled,Off,2026-01-03 12:06:43
EMEA_ZONE,7072444,Slp. R&M,19.53,16.0,Scheduled,Off,2026-01-03 12:06:43
EMEA_ZONE,7073860,Woonkamer,21.3,20.5,Scheduled,Off,2026-01-03 12:06:43
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 12:06:43
EMEA_ZONE,7403695,1e overig,18.12,16.5,Scheduled,Off,2026-01-03 12:24:13
EMEA_ZONE,7403694,Badkamer,18.15,16.5,Scheduled,Off,2026-01-03 12:24:13
EMEA_ZONE,7337783,Logeerkamer,17.74,18.0,Scheduled,Off,2026-01-03 12:24:13
EMEA_ZONE,7162110,Slp. Harvey,19.47,16.0,Scheduled,Off,2026-01-03 12:24:13
EMEA_ZONE,7072444,Slp. R&M,19.47,16.0,Scheduled,Off,2026-01-03 12:24:13
EMEA_ZONE,7073860,Woonkamer,21.3,20.5,Scheduled,Off,2026-01-03 12:24:13
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 12:24:13
EMEA_ZONE,7403695,1e overig,18.16,16.5,Scheduled,Off,2026-01-03 12:35:38
EMEA_ZONE,7403694,Badkamer,18.12,16.5,Scheduled,Off,2026-01-03 12:35:38
EMEA_ZONE,7337783,Logeerkamer,17.74,18.0,Scheduled,Off,2026-01-03 12:35:38
EMEA_ZONE,7162110,Slp. Harvey,19.45,16.0,Scheduled,Off,2026-01-03 12:35:38
EMEA_ZONE,7072444,Slp. R&M,19.45,16.0,Scheduled,Off,2026-01-03 12:35:38
EMEA_ZONE,7073860,Woonkamer,21.25,20.5,Scheduled,Off,2026-01-03 12:35:38
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 12:35:38
EMEA_ZONE,7403695,1e overig,18.21,16.5,Scheduled,Off,2026-01-03 12:49:05
EMEA_ZONE,7403694,Badkamer,18.49,16.5,Scheduled,Off,2026-01-03 12:49:05
EMEA_ZONE,7337783,Logeerkamer,17.73,18.0,Scheduled,Off,2026-01-03 12:49:05
EMEA_ZONE,7162110,Slp. Harvey,19.46,16.0,Scheduled,Off,2026-01-03 12:49:05
EMEA_ZONE,7072444,Slp. R&M,19.46,16.0,Scheduled,Off,2026-01-03 12:49:05
EMEA_ZONE,7073860,Woonkamer,21.24,20.5,Scheduled,Off,2026-01-03 12:49:05
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 12:49:05
EMEA_ZONE,7403695,1e overig,18.26,16.5,Scheduled,Off,2026-01-03 13:12:59
EMEA_ZONE,7403694,Badkamer,18.82,16.5,Scheduled,Off,2026-01-03 13:12:59
EMEA_ZONE,7337783,Logeerkamer,17.72,18.0,Scheduled,Off,2026-01-03 13:12:59
EMEA_ZONE,7162110,Slp. Harvey,19.43,16.0,Scheduled,Off,2026-01-03 13:12:59
EMEA_ZONE,7072444,Slp. R&M,19.43,16.0,Scheduled,Off,2026-01-03 13:12:59
EMEA_ZONE,7073860,Woonkamer,21.15,20.5,Scheduled,Off,2026-01-03 13:12:59
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 13:12:59
EMEA_ZONE,7403695,1e overig,18.27,16.5,Scheduled,Off,2026-01-03 13:31:40
EMEA_ZONE,7403694,Badkamer,18.89,16.5,Scheduled,Off,2026-01-03 13:31:40
EMEA_ZONE,7337783,Logeerkamer,17.72,18.0,Scheduled,Off,2026-01-03 13:31:40
EMEA_ZONE,7162110,Slp. Harvey,19.43,16.0,Scheduled,Off,2026-01-03 13:31:40
EMEA_ZONE,7072444,Slp. R&M,19.43,16.0,Scheduled,Off,2026-01-03 13:31:40
EMEA_ZONE,7073860,Woonkamer,21.09,20.5,Scheduled,Off,2026-01-03 13:31:40
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 13:31:40
EMEA_ZONE,7403695,1e overig,18.3,16.5,Scheduled,Off,2026-01-03 14:01:34
EMEA_ZONE,7403694,Badkamer,18.91,16.5,Scheduled,Off,2026-01-03 14:01:34
EMEA_ZONE,7337783,Logeerkamer,17.72,18.0,Scheduled,Off,2026-01-03 14:01:34
EMEA_ZONE,7162110,Slp. Harvey,19.43,16.0,Scheduled,Off,2026-01-03 14:01:34
EMEA_ZONE,7072444,Slp. R&M,19.43,16.0,Scheduled,Off,2026-01-03 14:01:34
EMEA_ZONE,7073860,Woonkamer,21.01,20.5,Scheduled,Off,2026-01-03 14:01:34
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 14:01:34
EMEA_ZONE,7403695,1e overig,18.32,16.5,Scheduled,Off,2026-01-03 14:27:07
EMEA_ZONE,7403694,Badkamer,18.88,16.5,Scheduled,Off,2026-01-03 14:27:07
EMEA_ZONE,7337783,Logeerkamer,17.82,18.0,Scheduled,Off,2026-01-03 14:27:07
EMEA_ZONE,7162110,Slp. Harvey,19.38,16.0,Scheduled,Off,2026-01-03 14:27:07
EMEA_ZONE,7072444,Slp. R&M,19.38,16.0,Scheduled,Off,2026-01-03 14:27:07
EMEA_ZONE,7073860,Woonkamer,20.94,20.5,Scheduled,Off,2026-01-03 14:27:07
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 14:27:07
EMEA_ZONE,7403695,1e overig,18.32,16.5,Scheduled,Off,2026-01-03 14:41:54
EMEA_ZONE,7403694,Badkamer,18.83,16.5,Scheduled,Off,2026-01-03 14:41:54
EMEA_ZONE,7337783,Logeerkamer,17.87,18.0,Scheduled,Off,2026-01-03 14:41:54
EMEA_ZONE,7162110,Slp. Harvey,19.36,16.0,Scheduled,Off,2026-01-03 14:41:54
EMEA_ZONE,7072444,Slp. R&M,19.36,16.0,Scheduled,Off,2026-01-03 14:41:54
EMEA_ZONE,7073860,Woonkamer,20.84,20.5,Scheduled,Off,2026-01-03 14:41:54
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 14:41:54
EMEA_ZONE,7403695,1e overig,18.3,16.5,Scheduled,Off,2026-01-03 14:51:45
EMEA_ZONE,7403694,Badkamer,18.82,16.5,Scheduled,Off,2026-01-03 14:51:45
EMEA_ZONE,7337783,Logeerkamer,17.9,18.0,Scheduled,Off,2026-01-03 14:51:45
EMEA_ZONE,7162110,Slp. Harvey,19.33,16.0,Scheduled,Off,2026-01-03 14:51:45
EMEA_ZONE,7072444,Slp. R&M,19.33,16.0,Scheduled,Off,2026-01-03 14:51:45
EMEA_ZONE,7073860,Woonkamer,20.8,20.5,Scheduled,Off,2026-01-03 14:51:45
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 14:51:45
EMEA_ZONE,7403695,1e overig,18.27,16.5,Scheduled,Off,2026-01-03 15:07:38
EMEA_ZONE,7403694,Badkamer,18.78,16.5,Scheduled,Off,2026-01-03 15:07:38
EMEA_ZONE,7337783,Logeerkamer,17.92,18.0,Scheduled,Off,2026-01-03 15:07:38
EMEA_ZONE,7162110,Slp. Harvey,19.33,16.0,Scheduled,Off,2026-01-03 15:07:38
EMEA_ZONE,7072444,Slp. R&M,19.33,16.0,Scheduled,Off,2026-01-03 15:07:38
EMEA_ZONE,7073860,Woonkamer,20.79,20.5,Scheduled,Off,2026-01-03 15:07:38
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 15:07:38
EMEA_ZONE,7403695,1e overig,18.27,16.5,Scheduled,Off,2026-01-03 15:25:07
EMEA_ZONE,7403694,Badkamer,18.73,16.5,Scheduled,Off,2026-01-03 15:25:07
EMEA_ZONE,7337783,Logeerkamer,17.92,18.0,Scheduled,Off,2026-01-03 15:25:07
EMEA_ZONE,7162110,Slp. Harvey,19.3,16.0,Scheduled,Off,2026-01-03 15:25:07
EMEA_ZONE,7072444,Slp. R&M,19.3,16.0,Scheduled,Off,2026-01-03 15:25:07
EMEA_ZONE,7073860,Woonkamer,20.69,20.5,Scheduled,Off,2026-01-03 15:25:07
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 15:25:07
EMEA_ZONE,7403695,1e overig,18.27,16.5,Scheduled,Off,2026-01-03 15:37:53
EMEA_ZONE,7403694,Badkamer,18.66,16.5,Scheduled,Off,2026-01-03 15:37:53
EMEA_ZONE,7337783,Logeerkamer,17.92,18.0,Scheduled,Off,2026-01-03 15:37:53
EMEA_ZONE,7162110,Slp. Harvey,19.28,16.0,Scheduled,Off,2026-01-03 15:37:53
EMEA_ZONE,7072444,Slp. R&M,19.28,16.0,Scheduled,Off,2026-01-03 15:37:53
EMEA_ZONE,7073860,Woonkamer,20.66,20.5,Scheduled,Off,2026-01-03 15:37:53
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 15:37:53
EMEA_ZONE,7403695,1e overig,18.27,16.5,Scheduled,Off,2026-01-03 15:50:01
EMEA_ZONE,7403694,Badkamer,18.62,16.5,Scheduled,Off,2026-01-03 15:50:01
EMEA_ZONE,7337783,Logeerkamer,17.93,18.0,Scheduled,Off,2026-01-03 15:50:01
EMEA_ZONE,7162110,Slp. Harvey,19.27,16.0,Scheduled,Off,2026-01-03 15:50:01
EMEA_ZONE,7072444,Slp. R&M,19.27,16.0,Scheduled,Off,2026-01-03 15:50:01
EMEA_ZONE,7073860,Woonkamer,20.63,20.5,Scheduled,Off,2026-01-03 15:50:01
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 15:50:01
EMEA_ZONE,7403695,1e overig,18.27,16.5,Scheduled,Off,2026-01-03 16:07:45
EMEA_ZONE,7403694,Badkamer,18.56,16.5,Scheduled,Off,2026-01-03 16:07:45
EMEA_ZONE,7337783,Logeerkamer,17.92,18.0,Scheduled,Off,2026-01-03 16:07:45
EMEA_ZONE,7162110,Slp. Harvey,19.24,16.0,Scheduled,Off,2026-01-03 16:07:45
EMEA_ZONE,7072444,Slp. R&M,19.24,16.0,Scheduled,Off,2026-01-03 16:07:45
EMEA_ZONE,7073860,Woonkamer,20.38,20.5,Scheduled,Off,2026-01-03 16:07:45
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 16:07:45
EMEA_ZONE,7403695,1e overig,18.22,16.5,Scheduled,Off,2026-01-03 16:25:19
EMEA_ZONE,7403694,Badkamer,18.46,16.5,Scheduled,Off,2026-01-03 16:25:19
EMEA_ZONE,7337783,Logeerkamer,17.92,18.0,Scheduled,Off,2026-01-03 16:25:19
EMEA_ZONE,7162110,Slp. Harvey,19.19,16.0,Scheduled,Off,2026-01-03 16:25:19
EMEA_ZONE,7072444,Slp. R&M,19.19,16.0,Scheduled,Off,2026-01-03 16:25:19
EMEA_ZONE,7073860,Woonkamer,20.24,20.5,Scheduled,Off,2026-01-03 16:25:19
EMEA_ZONE,7406169,Zolder,18.61,15.0,Scheduled,Off,2026-01-03 16:25:19
